id,rank_group,template_name,family,family_name,genre_prevalence,ground_entries,logical_route_count,split_count,merge_count,crossing_count,loop_count,path_length_class,min_path_tiles,max_path_tiles,shared_coverage,recommended_pad_min,recommended_pad_max,primary_design_lesson,difficulty_band,launch_candidate,best_use
TDL-050,B,Braided Route,SPLIT_MERGE,Split then re-merge,Common,1,2,1,1,0,0,very_long,66,88,very_high,27,31,advanced,Easy,False,campaign
TDL-051,B,Parallel Twins,DUAL_LANE,Parallel / independent lanes,Common,2,2,0,0,0,0,medium,34,48,low,24,28,distributed,Medium,False,campaign
TDL-052,B,Close Parallel,DUAL_LANE,Parallel / independent lanes,Common,2,2,0,0,0,0,medium,34,48,high,23,27,shared_range,Easy,False,campaign
TDL-053,B,Far Parallel,DUAL_LANE,Parallel / independent lanes,Common,2,2,0,0,0,0,medium,34,48,very_low,24,28,distributed,Medium,False,campaign
TDL-054,B,Opposed Curves,DUAL_LANE,Parallel / independent lanes,Common,2,2,0,0,0,0,long,48,66,medium,26,30,adaptive,Easy,False,campaign
TDL-055,B,Mirror Lanes,DUAL_LANE,Parallel / independent lanes,Common,2,2,0,0,0,0,long,48,66,medium,26,30,symmetry,Easy,False,campaign
TDL-056,B,Unequal Twins,DUAL_LANE,Parallel / independent lanes,Common,2,2,0,0,0,0,medium,34,48,low,24,28,priority,Medium,False,campaign
TDL-057,B,Braided-but-Separate,DUAL_LANE,Parallel / independent lanes,Common,2,2,0,0,0,0,long,48,66,high,26,30,timing,Easy,False,campaign
TDL-058,B,Outer/Inner Lanes,DUAL_LANE,Parallel / independent lanes,Common,2,2,0,0,0,0,medium,34,48,high,23,27,range,Easy,False,campaign
TDL-059,B,Two Bridges,DUAL_LANE,Parallel / independent lanes,Common,2,2,0,0,0,0,short,24,34,medium,20,24,chokes,Easy,False,campaign
TDL-060,B,Three Independent Lanes,DUAL_LANE,Parallel / independent lanes,Common,3,3,0,0,0,0,medium,34,48,very_low,26,30,distributed,Hard,False,skirmish/late_campaign
TDL-061,B,X Crossing,CROSSING,Crossing / intersection,Common,2,2,0,0,1,0,medium,34,48,very_high,23,27,intersection,Medium,False,campaign
TDL-062,B,Plus Crossing,CROSSING,Crossing / intersection,Common,2,2,0,0,1,0,medium,34,48,very_high,23,27,intersection,Medium,False,campaign
TDL-063,B,Offset X,CROSSING,Crossing / intersection,Common,2,2,0,0,1,0,long,48,66,high,26,30,timing,Medium,False,campaign
TDL-064,B,Double Crossing,CROSSING,Crossing / intersection,Common,2,2,0,0,1,0,long,48,66,very_high,26,30,intersection,Medium,False,campaign
TDL-065,B,Cross-and-Merge,CROSSING,Crossing / intersection,Common,2,2,0,1,1,0,long,48,66,very_high,26,30,central_then_shared,Medium,False,campaign
TDL-066,B,Cross-and-Diverge,CROSSING,Crossing / intersection,Common,2,2,0,0,1,0,medium,34,48,high,23,27,central_then_distributed,Medium,False,campaign
TDL-067,B,Interleaved Curves,CROSSING,Crossing / intersection,Common,2,2,0,0,1,0,long,48,66,high,26,30,range,Medium,False,campaign
TDL-068,B,Central Bridge Crossing,CROSSING,Crossing / intersection,Common,2,2,0,0,1,0,medium,34,48,very_high,23,27,choke,Medium,False,campaign
TDL-069,B,Four-Corner Cross,CROSSING,Crossing / intersection,Common,3,3,0,0,1,0,medium,34,48,very_high,25,29,central,Hard,False,skirmish/late_campaign
TDL-070,B,Rotating Active Cross,CROSSING,Crossing / intersection,Common,3,3,0,0,1,0,medium,34,48,very_high,25,29,wave_planning,Hard,False,skirmish/late_campaign
TDL-071,C,Three-Spoke Hub,HUB,Hub-and-spoke convergence,Common,3,3,0,1,0,0,medium,34,48,very_high,25,29,central,Hard,False,skirmish/late_campaign
TDL-072,C,Two-Spoke Hub,HUB,Hub-and-spoke convergence,Common,2,2,0,1,0,0,long,48,66,very_high,26,30,central,Medium,False,campaign
TDL-073,C,Ring Hub,HUB,Hub-and-spoke convergence,Common,3,3,0,1,0,1,long,48,66,very_high,28,32,central,Hard,False,skirmish/late_campaign
TDL-074,C,Hub with Final Tail,HUB,Hub-and-spoke convergence,Common,3,3,0,1,0,0,long,48,66,high,28,32,final_defense,Hard,False,skirmish/late_campaign
TDL-075,C,Off-Center Hub,HUB,Hub-and-spoke convergence,Common,3,3,0,1,0,0,medium,34,48,high,25,29,adaptive,Hard,False,skirmish/late_campaign
TDL-076,C,Hub-and-Loop,HUB,Hub-and-spoke convergence,Common,2,2,0,1,0,1,long,48,66,very_high,26,30,persistent_dps,Medium,False,campaign
TDL-077,C,Hub with Bypass,HUB,Hub-and-spoke convergence,Common,3,3,0,1,0,0,medium,34,48,medium,25,29,coverage,Hard,False,skirmish/late_campaign
TDL-078,C,Double Hub,HUB,Hub-and-spoke convergence,Common,3,3,0,1,0,0,very_long,66,88,very_high,31,34,advanced,Hard,False,skirmish/late_campaign
TDL-079,C,Hub Funnel,HUB,Hub-and-spoke convergence,Common,3,3,0,1,0,0,short,24,34,very_high,22,26,burst,Hard,False,skirmish/late_campaign
TDL-080,C,Hub with Safe Backline,HUB,Hub-and-spoke convergence,Common,3,3,0,1,0,0,medium,34,48,high,25,29,layered_defense,Hard,False,skirmish/late_campaign
TDL-081,C,Straight Sprint,GAUNTLET,Short / compressed gauntlet,Common,1,1,0,0,0,0,very_short,18,24,low,18,21,dps_check,Medium,False,campaign
TDL-082,C,Short Zigzag,GAUNTLET,Short / compressed gauntlet,Common,1,1,0,0,0,0,short,24,34,medium,18,22,early_efficiency,Easy,False,campaign
TDL-083,C,Short U,GAUNTLET,Short / compressed gauntlet,Common,1,1,0,0,0,0,short,24,34,high,18,22,aoe,Easy,False,campaign
TDL-084,C,Narrow Corridor,GAUNTLET,Short / compressed gauntlet,Common,1,1,0,0,0,0,short,24,34,low,19,23,range,Medium,False,campaign
TDL-085,C,Two-Entry Sprint,GAUNTLET,Short / compressed gauntlet,Common,2,1,0,0,0,0,short,24,34,medium,20,24,distributed,Medium,False,campaign
TDL-086,C,Three-Entry Sprint,GAUNTLET,Short / compressed gauntlet,Common,3,1,0,0,0,0,short,24,34,medium,22,26,burst,Hard,False,skirmish/late_campaign
TDL-087,C,Late-Choke Sprint,GAUNTLET,Short / compressed gauntlet,Common,2,1,0,0,0,0,short,24,34,high,20,24,final_killzone,Medium,False,campaign
TDL-088,C,Early-Choke Sprint,GAUNTLET,Short / compressed gauntlet,Common,2,1,0,0,0,0,short,24,34,high,20,24,frontload,Medium,False,campaign
TDL-089,C,Sparse-Pad Gauntlet,GAUNTLET,Short / compressed gauntlet,Common,1,1,0,0,0,0,medium,34,48,low,22,26,pad_efficiency,Medium,False,campaign
TDL-090,C,Boss Run,GAUNTLET,Short / compressed gauntlet,Common,1,1,0,0,0,0,short,24,34,medium,18,22,anti_heavy,Easy,False,campaign
TDL-091,C,Long Lane + Short Lane Merge,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,2,2,0,1,0,0,medium,34,48,high,23,27,priority,Medium,False,campaign
TDL-092,C,Shortcut + Main Road,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,2,2,0,0,0,0,medium,34,48,medium,23,27,shortcut_response,Medium,False,campaign
TDL-093,C,Staged Third Entry,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,3,3,0,0,0,0,long,48,66,high,28,32,reserve_supply,Hard,False,skirmish/late_campaign
TDL-094,C,Main Road + Tunnel Bypass,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,2,2,0,0,0,0,medium,34,48,medium,23,27,coverage,Medium,False,campaign
TDL-095,C,Outer Loop + Inner Sprint,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,2,2,0,0,0,1,long,48,66,high,26,30,adaptive,Medium,False,campaign
TDL-096,C,Split Start + Crossing + Merge,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,2,2,0,1,0,0,very_long,66,88,very_high,29,33,advanced,Medium,False,campaign
TDL-097,C,Alternating Entry Sides,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,3,3,0,0,0,0,medium,34,48,high,25,29,wave_planning,Hard,False,skirmish/late_campaign
TDL-098,C,Reverse-Route Variant,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,1,1,0,0,0,0,long,48,66,high,24,28,relearning,Easy,False,campaign
TDL-099,C,Timed Route Closure,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,2,2,0,0,0,0,medium,34,48,high,23,27,topology_change,Medium,False,campaign
TDL-100,C,Multi-Phase Finale Network,ASYMMETRIC,Asymmetric hybrid,Common-to-advanced,3,3,0,0,0,0,very_long,66,88,very_high,31,34,full_exam,Hard,False,skirmish/late_campaign
